zip_best,State,complaint_count,zip,pop,pop_white,pop_black_or_aa,pop_ai_or_an,pop_asian,pop_nh_or_opi,pop_other,pop_multiple,pop_hol,pop_not_hol,income_mean_household_dollars,Cluster
10001,NY,904,10001,27004.0,17409.0,3691.0,131.0,6403.0,57.0,2051.0,2870.0,7279.0,25333.0,166167.0,0
10002,NY,409,10002,76518.0,22907.0,8260.0,440.0,33523.0,75.0,9576.0,7374.0,20147.0,62008.0,70204.0,0
10003,NY,173,10003,53877.0,39636.0,2369.0,105.0,8189.0,34.0,2141.0,4602.0,5391.0,51685.0,211756.0,3
10003,None,1,10003,53877.0,39636.0,2369.0,105.0,8189.0,34.0,2141.0,4602.0,5391.0,51685.0,211756.0,3
10004,NY,38,10004,4579.0,2549.0,209.0,8.0,937.0,6.0,116.0,462.0,443.0,3844.0,325028.0,3
10005,NY,104,10005,8801.0,7008.0,431.0,16.0,1965.0,12.0,280.0,927.0,935.0,9704.0,218441.0,3
10006,NY,23,10006,3736.0,2747.0,139.0,6.0,842.0,0.0,112.0,436.0,430.0,3852.0,226459.0,3
10007,NY,26,10007,7506.0,5660.0,526.0,8.0,1306.0,10.0,126.0,785.0,790.0,7631.0,409624.0,3
10009,NY,320,10009,58418.0,32561.0,5654.0,431.0,9421.0,58.0,6761.0,6830.0,15098.0,46618.0,108017.0,0
10010,NY,217,10010,32410.0,22084.0,1876.0,58.0,5378.0,239.0,1375.0,2981.0,3746.0,30245.0,214151.0,3
10010,UNITED STATES MINOR OUTLYING ISLANDS,1,10010,32410.0,22084.0,1876.0,58.0,5378.0,239.0,1375.0,2981.0,3746.0,30245.0,214151.0,3
10011,NY,251,10011,50772.0,38456.0,2407.0,145.0,5452.0,54.0,2133.0,4671.0,6072.0,47246.0,210553.0,3
10012,NY,106,10012,21216.0,16362.0,609.0,24.0,3321.0,16.0,701.0,2092.0,2042.0,21083.0,180973.0,3
10013,NY,141,10013,29453.0,17232.0,1133.0,42.0,9166.0,28.0,984.0,2457.0,2337.0,28705.0,294915.0,3
10014,NY,158,10014,29461.0,26296.0,657.0,39.0,2167.0,13.0,787.0,2631.0,2499.0,30091.0,217624.0,3
10016,NY,371,10016,54369.0,39879.0,3304.0,105.0,12457.0,104.0,1894.0,4593.0,5786.0,56550.0,181643.0,0
10017,NY,110,10017,14486.0,10881.0,597.0,18.0,4029.0,21.0,428.0,1427.0,1432.0,15969.0,184005.0,3
10018,NY,38,10018,8659.0,4806.0,1446.0,43.0,3113.0,34.0,790.0,913.0,1983.0,9162.0,187702.0,3
10019,NY,369,10019,42766.0,27551.0,3307.0,182.0,9904.0,22.0,3200.0,4863.0,8138.0,40891.0,177809.0,3
10019,None,1,10019,42766.0,27551.0,3307.0,182.0,9904.0,22.0,3200.0,4863.0,8138.0,40891.0,177809.0,3
10021,NY,156,10021,40642.0,36788.0,651.0,43.0,4541.0,5.0,801.0,2862.0,2881.0,42810.0,237726.0,3
10022,NY,126,10022,33586.0,27511.0,899.0,34.0,4993.0,31.0,766.0,2474.0,2614.0,34094.0,257537.0,3
10023,NY,297,10023,65706.0,50346.0,3080.0,157.0,8904.0,33.0,2524.0,6120.0,7060.0,64104.0,226093.0,3
10024,NY,289,10024,62774.0,46065.0,3342.0,116.0,4285.0,39.0,2645.0,5758.0,7255.0,54995.0,267771.0,3
10025,NY,601,10025,96988.0,52488.0,11666.0,477.0,11075.0,44.0,9284.0,10390.0,19652.0,75772.0,176758.0,0
10025,UNITED STATES MINOR OUTLYING ISLANDS,1,10025,96988.0,52488.0,11666.0,477.0,11075.0,44.0,9284.0,10390.0,19652.0,75772.0,176758.0,0
10026,NY,355,10026,38265.0,8932.0,16245.0,161.0,2176.0,18.0,4026.0,4086.0,7940.0,27704.0,109506.0,2
10026,None,1,10026,38265.0,8932.0,16245.0,161.0,2176.0,18.0,4026.0,4086.0,7940.0,27704.0,109506.0,0
10027,NY,592,10027,65806.0,17307.0,23606.0,515.0,6777.0,48.0,8811.0,6973.0,16699.0,47338.0,95040.0,2
10028,NY,200,10028,45717.0,38482.0,742.0,51.0,4456.0,2.0,923.0,3460.0,3346.0,44770.0,225593.0,3
10029,NY,659,10029,75614.0,16776.0,21913.0,1349.0,7511.0,83.0,20510.0,9999.0,37263.0,40878.0,71046.0,2
10030,NY,441,10030,31268.0,4082.0,17631.0,211.0,793.0,44.0,4008.0,2917.0,7511.0,22175.0,77671.0,2
10030,None,2,10030,31268.0,4082.0,17631.0,211.0,793.0,44.0,4008.0,2917.0,7511.0,22175.0,77671.0,1
10031,NY,498,10031,61044.0,12338.0,14402.0,945.0,2252.0,59.0,17966.0,8401.0,28639.0,27724.0,81495.0,2
10032,CO,2,10032,60480.0,11724.0,8946.0,819.0,2677.0,49.0,21688.0,9267.0,34148.0,21022.0,75308.0,1
10032,NY,434,10032,60480.0,11724.0,8946.0,819.0,2677.0,49.0,21688.0,9267.0,34148.0,21022.0,75308.0,0
10033,NY,313,10033,58711.0,15205.0,3934.0,653.0,1467.0,38.0,19993.0,8795.0,31849.0,18236.0,85288.0,0
10034,NY,338,10034,41570.0,9056.0,3783.0,462.0,855.0,44.0,16024.0,6554.0,24972.0,11806.0,78544.0,1
10035,NY,404,10035,38595.0,6499.0,13419.0,624.0,1861.0,47.0,8856.0,4674.0,16207.0,19773.0,58682.0,2
10036,NY,372,10036,30930.0,16504.0,3971.0,179.0,7338.0,155.0,2434.0,3287.0,6040.0,27828.0,139050.0,0
10037,NY,230,10037,19138.0,2097.0,12644.0,140.0,623.0,18.0,2156.0,1992.0,4761.0,14909.0,69346.0,1
10038,NY,194,10038,23343.0,12479.0,2000.0,67.0,7205.0,22.0,1426.0,2133.0,3603.0,21729.0,155311.0,3
10039,NY,294,10039,29887.0,2809.0,18417.0,222.0,774.0,30.0,4111.0,2876.0,8166.0,21073.0,60694.0,2
10040,NY,288,10040,43653.0,10876.0,3341.0,451.0,1135.0,23.0,17642.0,6937.0,27267.0,13138.0,72654.0,0
10044,NY,39,10044,11846.0,4513.0,1331.0,188.0,3903.0,98.0,567.0,1122.0,1440.0,10282.0,150655.0,3
10065,NY,208,10065,30859.0,25583.0,545.0,28.0,3740.0,22.0,564.0,2409.0,2141.0,30750.0,264139.0,3
10069,NY,84,10069,6259.0,4115.0,187.0,13.0,1593.0,4.0,145.0,614.0,551.0,6120.0,232218.0,3
10075,NY,196,10075,23920.0,22122.0,517.0,28.0,2689.0,12.0,526.0,1902.0,1954.0,25842.0,241307.0,3
10128,NY,354,10128,56695.0,46313.0,2871.0,97.0,7365.0,18.0,2235.0,5350.0,6662.0,57587.0,206466.0,0
10162,NY,3,10162,1523.0,1409.0,20.0,3.0,194.0,3.0,18.0,167.0,135.0,1679.0,147342.0,3
10280,NY,26,10280,8843.0,5801.0,156.0,9.0,1979.0,8.0,227.0,813.0,694.0,8299.0,251759.0,3
10282,NY,5,10282,6450.0,3963.0,128.0,0.0,1035.0,2.0,115.0,604.0,449.0,5398.0,393072.0,3
10301,NY,403,10301,40331.0,17246.0,9839.0,418.0,3707.0,20.0,5720.0,4524.0,11743.0,29731.0,99556.0,0
10302,NY,65,10302,18567.0,6480.0,4385.0,637.0,1447.0,4.0,5558.0,2420.0,9476.0,11455.0,88283.0,1
10303,NY,325,10303,27083.0,5866.0,10127.0,509.0,2837.0,32.0,5716.0,3068.0,10356.0,17799.0,88661.0,0
10304,NY,344,10304,44864.0,16239.0,12791.0,440.0,6986.0,35.0,6547.0,3906.0,11964.0,34980.0,98456.0,0
10305,NY,488,10305,42211.0,25238.0,2202.0,313.0,8549.0,25.0,4480.0,3201.0,8571.0,35437.0,99302.0,0
10306,NY,354,10306,56232.0,42191.0,1724.0,180.0,6873.0,13.0,3022.0,3916.0,7783.0,50136.0,104057.0,0
10307,NY,63,10307,14755.0,12131.0,122.0,37.0,359.0,11.0,566.0,903.0,1620.0,12509.0,135651.0,3
10308,NY,151,10308,30075.0,23195.0,213.0,62.0,2093.0,2.0,924.0,1709.0,3033.0,25165.0,121935.0,0
10309,NY,105,10309,34740.0,28210.0,379.0,66.0,1894.0,8.0,900.0,2066.0,3435.0,30088.0,126007.0,0
10310,NY,119,10310,26239.0,11083.0,5437.0,391.0,2149.0,14.0,4594.0,2999.0,8642.0,18025.0,101813.0,0
10310,None,1,10310,26239.0,11083.0,5437.0,391.0,2149.0,14.0,4594.0,2999.0,8642.0,18025.0,101813.0,1
10312,NY,370,10312,63473.0,49832.0,663.0,128.0,5270.0,17.0,1816.0,3916.0,6522.0,55120.0,118146.0,0
10314,NY,665,10314,94355.0,57808.0,4157.0,418.0,17115.0,53.0,6414.0,6192.0,13815.0,78342.0,109918.0,0
10451,NY,561,10451,51311.0,4436.0,21299.0,816.0,839.0,60.0,17168.0,6918.0,29663.0,21873.0,50993.0,2
10452,NY,399,10452,78624.0,5109.0,23794.0,1185.0,1236.0,115.0,35336.0,10789.0,53489.0,24075.0,40997.0,2
10452,None,1,10452,78624.0,5109.0,23794.0,1185.0,1236.0,115.0,35336.0,10789.0,53489.0,24075.0,40997.0,2
10453,NY,945,10453,80385.0,5154.0,26836.0,1250.0,1231.0,83.0,35559.0,11838.0,55376.0,26575.0,44957.0,2
10454,NY,246,10454,41073.0,4163.0,12949.0,1119.0,365.0,46.0,15931.0,5659.0,27493.0,12739.0,41202.0,1
10455,NY,273,10455,44380.0,3940.0,13583.0,932.0,456.0,43.0,18354.0,6496.0,30749.0,13055.0,44051.0,1
10456,NY,750,10456,88575.0,6040.0,40338.0,1188.0,997.0,136.0,32409.0,12304.0,54067.0,39345.0,46124.0,2
10457,NY,519,10457,79817.0,5714.0,27323.0,1235.0,973.0,122.0,32030.0,10091.0,50615.0,26873.0,48599.0,2
10458,NY,606,10458,82678.0,11576.0,18457.0,1721.0,2849.0,103.0,34967.0,11626.0,53671.0,27628.0,49919.0,2
10459,NY,615,10459,51964.0,3896.0,17572.0,1018.0,443.0,45.0,20338.0,7672.0,33826.0,17158.0,47731.0,2
10460,NY,557,10460,59852.0,5624.0,21027.0,1011.0,1288.0,86.0,24812.0,8777.0,40654.0,21971.0,49926.0,2
